No;id;year;treated;age;educ;black;married;nodegree;dwincl;re74;hisp;early_ra;sample;experimental;re
1;1;1975;NA;42;16;0;1;0;NA;0;0;NA;2;0;0
2;1;1978;NA;42;16;0;1;0;NA;0;0;NA;2;0;100.485405
3;2;1975;NA;20;13;0;0;0;NA;2366.794189;0;NA;2;0;3317.467773
4;2;1978;NA;20;13;0;0;0;NA;2366.794189;0;NA;2;0;4793.745117
5;3;1975;NA;37;12;0;1;0;NA;25862.32227;0;NA;2;0;22781.85547
6;3;1978;NA;37;12;0;1;0;NA;25862.32227;0;NA;2;0;25564.66992
7;4;1975;NA;48;12;0;1;0;NA;21591.12109;0;NA;2;0;20839.35547
8;4;1978;NA;48;12;0;1;0;NA;21591.12109;0;NA;2;0;20550.74414
9;5;1975;NA;51;12;0;1;0;NA;21395.19336;0;NA;2;0;21575.17773
10;5;1978;NA;51;12;0;1;0;NA;21395.19336;0;NA;2;0;22783.58789
11;6;1975;NA;18;11;0;0;1;NA;1310.749512;0;NA;2;0;1455.532227
12;6;1978;NA;18;11;0;0;1;NA;1310.749512;0;NA;2;0;2157.480713
13;7;1975;NA;52;15;0;1;0;NA;25862.32227;0;NA;2;0;25243.54883
14;7;1978;NA;52;15;0;1;0;NA;25862.32227;0;NA;2;0;25564.66992
15;8;1975;NA;39;16;0;1;0;NA;25862.32227;0;NA;2;0;25243.54883
16;8;1978;NA;39;16;0;1;0;NA;25862.32227;0;NA;2;0;25564.66992
17;9;1975;NA;44;12;0;1;0;NA;25862.32227;0;NA;2;0;25243.54883
18;9;1978;NA;44;12;0;1;0;NA;25862.32227;0;NA;2;0;25564.66992
19;10;1975;NA;51;12;0;1;0;NA;25862.32227;0;NA;2;0;25243.54883
20;10;1978;NA;51;12;0;1;0;NA;25862.32227;0;NA;2;0;25564.66992
21;11;1975;NA;53;12;0;1;0;NA;25862.32227;0;NA;2;0;25243.54883
22;11;1978;NA;53;12;0;1;0;NA;25862.32227;0;NA;2;0;25427.24023
23;12;1975;NA;55;12;0;1;0;NA;25862.32227;0;NA;2;0;25243.54883
24;12;1978;NA;55;12;0;1;0;NA;25862.32227;0;NA;2;0;25564.66992
25;13;1975;NA;45;12;0;1;0;NA;8987.157227;0;NA;2;0;10666.74219
26;13;1978;NA;45;12;0;1;0;NA;8987.157227;0;NA;2;0;8096.463867
27;14;1975;NA;54;12;0;1;0;NA;25862.32227;0;NA;2;0;25243.54883
28;14;1978;NA;54;12;0;1;0;NA;25862.32227;0;NA;2;0;25564.66992
29;15;1975;NA;54;12;0;1;0;NA;25862.32227;0;NA;2;0;25243.54883
30;15;1978;NA;54;12;0;1;0;NA;25862.32227;0;NA;2;0;25564.66992
31;16;1975;NA;51;8;0;1;1;NA;15973.90234;0;NA;2;0;12967.30664
32;16;1978;NA;51;8;0;1;1;NA;15973.90234;0;NA;2;0;0
33;17;1975;NA;16;10;0;0;1;NA;881.6700439;0;NA;2;0;2391.87085
34;17;1978;NA;16;10;0;0;1;NA;881.6700439;0;NA;2;0;10747.50586
35;18;1975;NA;17;10;0;0;1;NA;466.3055115;0;NA;2;0;537.0968018
36;18;1978;NA;17;10;0;0;1;NA;466.3055115;0;NA;2;0;4306.095215
37;19;1975;NA;53;12;0;1;0;NA;25862.32227;0;NA;2;0;4380.919434
38;19;1978;NA;53;12;0;1;0;NA;25862.32227;0;NA;2;0;25564.66992
39;20;1975;NA;53;12;0;1;0;NA;10233.25098;0;NA;2;0;11305.88672
40;20;1978;NA;53;12;0;1;0;NA;10233.25098;0;NA;2;0;16150.07422
41;21;1975;NA;53;12;0;1;0;NA;22884.23633;0;NA;2;0;24563.22656
42;21;1978;NA;53;12;0;1;0;NA;22884.23633;0;NA;2;0;24081.0332
43;22;1975;NA;42;12;0;1;0;NA;0;0;NA;2;0;580.0645142
44;22;1978;NA;42;12;0;1;0;NA;0;0;NA;2;0;0
45;23;1975;NA;46;11;0;1;1;NA;25862.32227;0;NA;2;0;25243.54883
46;23;1978;NA;46;11;0;1;1;NA;25862.32227;0;NA;2;0;25564.66992
47;24;1975;NA;49;18;0;1;0;NA;25862.32227;0;NA;2;0;25243.54883
48;24;1978;NA;49;18;0;1;0;NA;25862.32227;0;NA;2;0;25564.66992
49;25;1975;NA;49;17;0;1;0;NA;25780.0332;0;NA;2;0;25243.54883
50;25;1978;NA;49;17;0;1;0;NA;25780.0332;0;NA;2;0;25564.66992
51;26;1975;NA;55;12;0;1;0;NA;25862.32227;0;NA;2;0;25243.54883
52;26;1978;NA;55;12;0;1;0;NA;25862.32227;0;NA;2;0;25564.66992
53;27;1975;NA;55;10;0;1;1;NA;25862.32227;0;NA;2;0;22060.35547
54;27;1978;NA;55;10;0;1;1;NA;25862.32227;0;NA;2;0;1536.835693
55;28;1975;NA;49;12;0;1;0;NA;25862.32227;0;NA;2;0;25243.54883
56;28;1978;NA;49;12;0;1;0;NA;25862.32227;0;NA;2;0;25564.66992
57;29;1975;NA;49;12;0;1;0;NA;23999.05859;0;NA;2;0;23564.22656
58;29;1978;NA;49;12;0;1;0;NA;23999.05859;0;NA;2;0;25564.66992
59;30;1975;NA;41;12;0;1;0;NA;17139.66602;0;NA;2;0;18447.48438
60;30;1978;NA;41;12;0;1;0;NA;17139.66602;0;NA;2;0;21143.3125
61;31;1975;NA;52;12;0;1;0;NA;25862.32227;0;NA;2;0;25243.54883
62;31;1978;NA;52;12;0;1;0;NA;25862.32227;0;NA;2;0;25564.66992
63;32;1975;NA;52;12;0;1;0;NA;21389.31641;0;NA;2;0;18300.67773
64;32;1978;NA;52;12;0;1;0;NA;21389.31641;0;NA;2;0;15736.31055
65;33;1975;NA;44;16;0;1;0;NA;25862.32227;0;NA;2;0;25243.54883
66;33;1978;NA;44;16;0;1;0;NA;25862.32227;0;NA;2;0;25564.66992
67;34;1975;NA;54;12;0;1;0;NA;25862.32227;0;NA;2;0;25243.54883
68;34;1978;NA;54;12;0;1;0;NA;25862.32227;0;NA;2;0;25564.66992
69;35;1975;NA;44;12;0;1;0;NA;5999.274902;0;NA;2;0;6146.177246
70;35;1978;NA;44;12;0;1;0;NA;5999.274902;0;NA;2;0;3877.554443
71;36;1975;NA;51;12;0;1;0;NA;25427.36523;0;NA;2;0;13549.16113
72;36;1978;NA;51;12;0;1;0;NA;25427.36523;0;NA;2;0;14803.86523
73;37;1975;NA;51;9;0;1;1;NA;0;0;NA;2;0;0
74;37;1978;NA;51;9;0;1;1;NA;0;0;NA;2;0;7385.677246
75;38;1975;NA;51;8;0;1;1;NA;0;0;NA;2;0;0
76;38;1978;NA;51;8;0;1;1;NA;0;0;NA;2;0;0
